Normals:0,Normals:1,Normals:2,Points:0,Points:1,Points:2,Pressure,SkinFriction:0,SkinFriction:1,SkinFriction:2,Cp,r,theta,xPrime,yPrime,x/c,isUpper,isLower
-0.761812,0.570144,0.30718,-0.0153782,0.051434,0.125889,18937.8,-200.463,-829.657,441.718,1.640022017298613,0.1359907962951905,-1.182927110891331,-0.0153782,-0.16086719976928124,1.1102230246251565e-16,1.0,1.0
-0.885716,0.350608,0.304158,-0.0154969,0.0512351,0.12597,-11424.3,-383.741,-988.493,330.815,-0.989349530157914,0.13599072163941922,-1.1845063419465953,-0.0154969,-0.16108187222778617,0.0015727465772350513,1.0,0.0
-0.959772,0.0559597,0.275145,-0.0154955,0.0506531,0.126207,-22007.7,-12.886,-452.237,99.4695,-1.905876741231964,0.1359924387185185,-1.1891272408027256,-0.0154955,-0.16171231342338563,0.007083539613596979,1.0,0.0
-0.964756,-0.063279,0.255423,-0.0152339,0.0486784,0.126987,-10948.6,31.0443,-180.877,72.6606,-0.9481536957088783,0.13599737054649255,-1.2047394676518273,-0.0152339,-0.16384139979422974,0.02634892439308234,1.0,0.0
-0.964377,-0.088281,0.249359,-0.0150415,0.0475929,0.127393,-10414.9,31.3614,-169.241,61.6578,-0.9019350351130186,0.1359928695903208,-1.2132613663260075,-0.0150415,-0.16499489476974719,0.036915653804224124,1.0,0.0
-0.96394,-0.107046,0.243626,-0.0148064,0.0463836,0.127834,-9643.19,33.2666,-164.809,59.1829,-0.835104601220512,0.13598885948841544,-1.222726707847103,-0.0148064,-0.16627721046615246,0.04871652586068542,1.0,0.0
-0.964627,-0.0475008,0.258524,-0.0152985,0.0491073,0.126824,-12052.7,30.1948,-182.786,79.2443,-1.0437692534452256,0.1359994628272112,-1.201365717932329,-0.0152985,-0.16338509229782366,0.022198202198038808,1.0,0.0
-0.964487,-0.0227629,0.263147,-0.0154004,0.0497619,0.126565,-13783.2,28.8228,-184.793,89.5099,-1.19363133356727,0.13599612463820432,-1.1961893925124376,-0.0154004,-0.16267712171501938,0.015754009533139546,1.0,0.0
0.926486,0.317507,-0.201979,-0.0148807,0.0505221,0.126264,12314.6,151.584,-381.764,82.8128,1.0664499115116592,0.1359966186506488,-1.1901773008124052,-0.0148807,-0.1618600885052432,0.009941350161446594,0.0,1.0
0.880381,0.443201,-0.168515,-0.0151716,0.0511463,0.126008,23994.0,254.703,-435.076,208.074,2.0778912166705172,0.13599250004206115,-1.1852164788021926,-0.0151716,-0.16118055204335874,0.0032638461201109914,0.0,1.0
0.941634,0.262135,-0.211124,-0.0142136,0.0487752,0.126944,7193.42,73.2546,-213.744,60.9438,0.6229534148462963,0.1359919088440191,-1.2039616428083537,-0.0142136,-0.16372904198048913,0.027967825747353237,0.0,1.0
0.937101,0.279101,-0.209585,-0.0145402,0.0496671,0.126603,8742.4,94.9581,-264.62,70.1089,0.7570957811377982,0.13599683978464353,-1.1969403675372063,-0.0145402,-0.1627801073957298,0.01884600452659191,0.0,1.0
0.931832,0.298206,-0.205797,-0.0147099,0.050101,0.126435,10521.5,123.125,-322.972,76.3481,0.9111666431690776,0.1359997037717362,-1.1935191496430237,-0.0147099,-0.16231825079734571,0.014378943287033152,0.0,1.0
0.944018,0.253958,-0.210454,-0.0139268,0.0479659,0.127249,6164.55,63.1269,-188.835,55.2398,0.5338528090241826,0.13598910090080749,-1.2103213655896814,-0.0139268,-0.1645905143075783,0.036224182693170404,0.0,1.0
0.945792,0.248808,-0.208619,-0.0136269,0.0470993,0.127571,5379.95,57.6824,-175.196,52.6275,0.4659060953207697,0.13598788218620803,-1.2171196598910212,-0.0136269,-0.16551352491577778,0.0450514953902551,0.0,1.0
-0.931464,-0.302754,-0.201657,0.0148953,-0.0505884,0.126233,-475.904,44.6596,-117.73,-29.4639,-0.04121350094100049,0.13599248693791874,-1.9519526735429829,0.0148953,-0.2654508984602297,0.9907489134556285,1.0,0.0
-0.929519,-0.307656,-0.203127,0.0151759,-0.0512522,0.125961,-1131.0,101.319,-132.411,-9.71952,-0.09794510986306389,0.13598882868030004,-1.9572277257970125,0.0151759,-0.2661611058917432,0.9976680927748686,1.0,0.0
-0.655835,-0.75233,-0.0553699,0.015401,-0.0514403,0.125883,-4000.87,39.3904,-144.383,-12.4141,-0.3464771456214292,0.13598762499981384,-1.958725116634758,0.015401,-0.2663623766386441,1.0,1.0,1.0
-0.93335,-0.299639,-0.197664,0.0144784,-0.0495731,0.126643,-373.791,37.8379,-100.747,-26.1149,-0.03237046910771398,0.13599978563442663,-1.9439014365769436,0.0144784,-0.2643701786689183,0.980245736788638,1.0,0.0
-0.933302,-0.299299,-0.198396,0.014534,-0.0497083,0.126589,-370.009,38.1238,-101.587,-26.2595,-0.03204294620276075,0.13599886032570274,-1.944971899482768,0.014534,-0.2645139616951737,0.981643460584474,1.0,0.0
-0.933571,-0.301658,-0.193424,0.0141725,-0.0488011,0.126937,-397.428,36.2602,-96.132,-25.2979,-0.034417443963446294,0.1359946665506041,-1.9378272496599667,0.0141725,-0.2635341706501814,0.9721631440207585,1.0,0.0
-0.933698,-0.304288,-0.188564,0.0138346,-0.0479522,0.127256,-473.659,35.4343,-93.5859,-24.6945,-0.04101908292893809,0.13599081961970816,-1.9311588647951239,0.0138346,-0.26261987683935406,0.9633151276740066,1.0,0.0
-0.933843,-0.306996,-0.183341,0.0134725,-0.0470432,0.127592,-600.823,35.0227,-92.3478,-24.0535,-0.05203154265539844,0.13598816540508224,-1.924032506377197,0.0134725,-0.2616456507219772,0.9538818943873297,1.0,0.0
0.95665,0.168394,0.237556,0.0154913,-0.0512261,0.125971,-3457.27,-14.5067,-195.139,-25.917,-0.2994011405625773,0.13598825744236154,-1.9570222357199196,0.0154913,-0.2661320436115064,0.9982180682616403,1.0,0.0
0.954579,0.186372,0.232401,0.0153313,-0.0506471,0.126206,-605.367,40.3821,-188.157,-19.0556,-0.05242505510386684,0.13598927595369426,-1.9524272053956648,0.0153313,-0.26550916201405117,0.9923690937128633,0.0,1.0
0.952443,0.205308,0.225117,0.015051,-0.0497471,0.126568,-244.072,34.7808,-137.902,-21.485,-0.021136745229440965,0.13599350198597726,-1.9452939075968798,0.015051,-0.26454733088608573,0.983252617862399,0.0,1.0
0.952932,0.207657,0.220903,0.0147327,-0.0487231,0.126973,222.416,33.1386,-131.258,-19.6874,0.01926132586675793,0.13600030589160453,-1.937196931896591,0.0147327,-0.26345937531021413,0.972937531415145,0.0,1.0
0.952946,0.207739,0.220764,0.0147227,-0.0486898,0.126985,237.246,33.0883,-131.051,-19.6301,0.020545610552230288,0.1359995840031873,-1.9369367198479943,0.0147227,-0.26342258813982533,0.9725906900859251,0.0,1.0
0.953338,0.210921,0.215959,0.0143973,-0.0476124,0.127387,424.763,31.9905,-124.458,-19.7769,0.03678466728626402,0.1359940748810771,-1.9284810486615562,0.0143973,-0.2622619961384178,0.9616229919408991,0.0,1.0
0.953899,0.213527,0.210823,0.0140406,-0.0464333,0.127817,524.616,31.2821,-121.062,-19.0584,0.045431982100726014,0.13598984093633612,-1.9192521368018258,0.0140406,-0.2609987928004035,0.9496791582638665,0.0,1.0
0.948891,0.2429,-0.201379,-0.0128661,0.0448345,0.128384,4170.07,51.1676,-158.955,49.5706,0.3611299418980255,0.13598744003123966,-1.2348148909834091,-0.0128661,-0.1679193159372881,0.06800633035274994,0.0,1.0
0.947356,0.245257,-0.205699,-0.0132845,0.0460911,0.127938,4737.26,54.0962,-166.275,51.031,0.4102488515914218,0.1359872102192335,-1.225009515220695,-0.0132845,-0.16658562646687797,0.05528951171157903,0.0,1.0
0.952027,0.241863,-0.187376,-0.0116906,0.0411963,0.129601,3185.19,48.1109,-152.607,47.6974,0.2758388899069253,0.13599100828617308,-1.2630265120979953,-0.0116906,-0.17176024887237476,0.10455479264864798,0.0,1.0
0.95046,0.24178,-0.195251,-0.0123337,0.0432054,0.128943,3649.23,48.8914,-153.356,48.3373,0.31602496309954786,0.13598898425299014,-1.247480317518193,-0.0123337,-0.16964358125489667,0.08442557586646726,0.0,1.0
0.954681,0.245204,-0.168628,-0.0102977,0.0367214,0.130943,2531.36,47.495,-153.766,45.5108,0.21921691715558392,0.1359945971976828,-1.297381463325144,-0.0102977,-0.17643686951664325,0.14895749269071012,0.0,1.0
0.953454,0.243125,-0.178293,-0.0109968,0.0389869,0.130285,2812.12,47.9248,-153.701,46.9162,0.24353085972424335,0.13599323364274415,-1.2800339909807747,-0.0109968,-0.17407596160610275,0.12655198726153338,0.0,1.0
0.955727,0.247736,-0.15871,-0.00960177,0.0344344,0.131563,2311.53,46.7994,-152.78,43.5564,0.2001795400546137,0.13599467222049547,-1.314805535665073,-0.00960177,-0.17880654785646455,0.17143153301439873,0.0,1.0
0.956621,0.25052,-0.148614,-0.00890319,0.0321108,0.132148,2128.94,45.9758,-151.213,41.2829,0.18436716374170756,0.13599337256145977,-1.332424989486027,-0.00890319,-0.1812009680053724,0.19412845960584713,0.0,1.0
0.958054,0.256632,-0.127396,-0.00744263,0.0271874,0.133245,1832.03,44.2979,-147.531,36.256,0.15865462389251012,0.1359903847474519,-1.3695185368671599,-0.00744263,-0.18624135274733244,0.2418812670447118,0.0,1.0
0.957388,0.2535,-0.138236,-0.00818916,0.0297138,0.132706,1973.33,45.1368,-149.443,38.8251,0.17089126759158255,0.1359918833844138,-1.3505224775850133,-0.00818916,-0.1836600952797707,0.21743001278345964,0.0,1.0
0.958626,0.259917,-0.115895,-0.00664823,0.0244824,0.133767,1697.87,43.4975,-145.594,33.6334,0.14703630741220183,0.13598896351822085,-1.3897770830542548,-0.00664823,-0.18899434504592444,0.2679547171619494,0.0,1.0
0.959112,0.263297,-0.103579,-0.00579354,0.0215566,0.134269,1565.75,42.7472,-143.697,30.9754,0.13559465585154049,0.13598842364172034,-1.4116069299050222,-0.00579354,-0.1919622011995124,0.2960587715571492,0.0,1.0
0.959797,0.270154,-0.0758744,-0.00386931,0.0149335,0.135166,1287.94,41.3859,-140.031,25.5115,0.11153618461276261,0.13598844428204185,-1.4607599297472946,-0.00386931,-0.19864647031587934,0.35935348621108276,0.0,1.0
0.959504,0.266739,-0.0902902,-0.00487079,0.0183853,0.13474,1431.5,42.0338,-141.799,28.2735,0.12396854533065955,0.13598855413633162,-1.4351836300484164,-0.00487079,-0.195168546770416,0.3264196146848075,0.0,1.0
0.960114,0.276148,-0.0433003,-0.00163113,0.00720633,0.135798,965.743,40.2125,-136.845,19.8749,0.0836337791640008,0.13598907307599717,-1.5177795156027272,-0.00163113,-0.20640142946055084,0.43280137726380297,0.0,1.0
0.959991,0.273392,-0.0602213,-0.00278868,0.0112035,0.135527,1133.5,40.8003,-138.421,22.6963,0.09816161099008215,0.13598928686205397,-1.4883176791019708,-0.00278868,-0.2023952598052643,0.39485523662552535,0.0,1.0
0.960141,0.279346,-0.0062049,0.00083966,-0.00131461,0.135983,623.966,39.195,-134.546,14.2596,0.05403573688843194,0.13598935432030002,-1.5804634840713305,0.00083966,-0.214926208725672,0.5135668843434081,0.0,1.0
0.960176,0.278163,-0.0252231,-0.000412499,0.00300076,0.135956,792.527,39.7122,-135.678,17.0476,0.06863319547696237,0.13598911168390504,-1.5487283572640709,-0.000412499,-0.21061019354401453,0.47267295848334645,0.0,1.0
0.95989,0.278278,0.0331978,0.00331839,-0.00981693,0.135634,294.441,38.099,-132.6,8.72744,0.025498723336154192,0.13598880126916665,-1.643048427270591,0.00331839,-0.22343618605171722,0.5942233253563725,0.0,1.0
0.960019,0.279498,0.0134279,0.00209564,-0.00562917,0.135872,456.384,38.6415,-133.42,11.4863,0.039523060141241864,0.13598855811754496,-1.6122025959361022,0.00209564,-0.21924110641471348,0.5544607867897462,0.0,1.0
0.959675,0.271749,0.0713935,0.00559071,-0.0175787,0.134847,23.9028,36.8155,-130.992,3.23488,0.0020699932555568908,0.13598795572656425,-1.700425660365809,0.00559071,-0.23123740941813942,0.6681623694092254,0.0,1.0
0.959771,0.275664,0.0526499,0.00448931,-0.0138185,0.135284,146.664,37.4457,-131.648,5.97105,0.01270116851720283,0.13598790975027888,-1.672587671709124,0.00448931,-0.22745170134980944,0.6322851806104239,0.0,1.0
0.959595,0.266788,0.0890365,0.00661158,-0.0210657,0.134347,-53.0005,36.228,-130.631,0.603627,-0.00458986719301266,0.1359885293893937,-1.7263305726474394,0.00661158,-0.23476115581427517,0.7015459455087192,0.0,1.0
0.959502,0.261187,0.105224,0.00753624,-0.0242295,0.133813,-87.9204,35.5849,-130.074,-1.91221,-0.007613946275158729,0.1359889246933367,-1.7499253472672445,0.00753624,-0.2379704662684864,0.731937556354328,0.0,1.0
0.959366,0.255343,0.11984,0.00836318,-0.0270647,0.13327,-91.7102,34.8392,-129.006,-4.26425,-0.00794214466362826,0.1359904073311423,-1.7711533092926026,0.00836318,-0.24085985997660167,0.7592854758445532,0.0,1.0
0.959187,0.249438,0.133035,0.00910941,-0.0296283,0.132725,-62.826,34.0813,-127.714,-6.45202,-0.005440759922419851,0.1359917710226983,-1.7904261255233216,0.00910941,-0.24348321969522443,0.7841037501100834,0.0,1.0
0.958627,0.237773,0.156432,0.0104592,-0.0342737,0.131605,71.385,32.7726,-125.342,-10.4504,0.00618197318087959,0.1359947151057349,-1.8255657626429056,0.0104592,-0.2482672957974056,0.8293352553021699,0.0,1.0
0.958947,0.243579,0.145111,0.0097995,-0.032003,0.132174,-6.70848,33.3873,-126.458,-8.51695,-0.0005809573922318009,0.13599322882040857,-1.8083522487331833,0.0097995,-0.24592366114987219,0.8071810580684565,0.0,1.0
0.957594,0.226484,0.17801,0.0117758,-0.0387945,0.130342,280.672,32.0792,-124.551,-14.2492,0.024306321728988393,0.13599283140757826,-1.8600831060813021,0.0117758,-0.25295796824939903,0.8736662418132196,0.0,1.0
0.958191,0.232043,0.167333,0.0111113,-0.0365163,0.131,170.72,32.3432,-124.696,-12.4199,0.014784428961823401,0.13599426519412502,-1.842645883610969,0.0111113,-0.25058927295465294,0.8512808934661116,0.0,1.0
0.954762,0.215349,0.20496,0.0136241,-0.0450505,0.128309,565.486,31.0716,-120.036,-18.7634,0.04897134252522064,0.1359880400301806,-1.908459161442807,0.0136241,-0.25952762084224934,0.9357662025432412,0.0,1.0
0.955801,0.217647,0.19755,0.0131035,-0.0433054,0.128908,532.967,31.5006,-122.049,-18.0797,0.04615518246541783,0.13598761021931371,-1.8948913677609909,0.0131035,-0.2576817487270239,0.9183147339831519,0.0,1.0
0.956794,0.221461,0.188307,0.0124568,-0.0411173,0.129625,407.444,31.9135,-124.166,-16.2696,0.03528483407873228,0.13598997383737524,-1.8779590501728725,0.0124568,-0.25538360210067096,0.8965910304398049,0.0,1.0
-0.934018,-0.314323,-0.169478,0.0125356,-0.0446983,0.128431,-992.989,36.2209,-95.3009,-23.1688,-0.08599329504669669,0.1359869838767299,-1.9057182464321254,0.0125356,-0.25915287645115537,0.9297183963350528,1.0,0.0
-0.933894,-0.310453,-0.177127,0.0130522,-0.0459906,0.127974,-770.871,35.1162,-92.4886,-23.3556,-0.06675777611427933,0.13598705807671552,-1.915798114733688,0.0130522,-0.2605237494915521,0.9430103114125861,1.0,0.0
-0.93526,-0.320941,-0.149073,0.0110905,-0.0410678,0.129642,-1656.54,37.742,-99.8348,-22.1885,-0.14345711078033585,0.13599122163154503,-1.8775742958628265,0.0110905,-0.25533362219837374,0.892672187974112,1.0,0.0
-0.93444,-0.318001,-0.16005,0.0118795,-0.0430561,0.128993,-1300.1,37.3348,-98.2794,-23.0529,-0.11258924609457945,0.13598905028056488,-1.8929545223126707,0.0118795,-0.25742108771360045,0.9129181599134559,1.0,0.0
-0.937689,-0.324056,-0.125258,0.00939079,-0.0367028,0.130949,-2351.85,38.6609,-104.161,-20.2925,-0.20367127023116427,0.13599535333547247,-1.8440675881630888,0.00939079,-0.2507846232267318,0.8486023719726876,1.0,0.0
-0.936375,-0.322979,-0.137263,0.010243,-0.0389082,0.130309,-2005.94,38.1974,-101.885,-21.1762,-0.17371530829240883,0.1359936892221106,-1.8609536565669453,0.010243,-0.25307795322791554,0.8708077762235654,1.0,0.0
-0.940703,-0.323671,-0.101334,0.00770853,-0.0322376,0.132118,-3016.43,39.3743,-108.889,-18.187,-0.26122419782868417,0.13599422332496333,-1.8101257798788986,0.00770853,-0.24616664955512435,0.8039745010652105,1.0,0.0
-0.939142,-0.324251,-0.113296,0.00854856,-0.0344878,0.131549,-2691.09,39.0239,-106.425,-19.2892,-0.23304960716303502,0.1359946607401923,-1.8271930508231056,0.00854856,-0.2484884990535252,0.82639799489444,1.0,0.0
-0.944117,-0.32048,-0.0765857,0.00597348,-0.027456,0.13319,-3624.75,39.9486,-114.139,-15.5743,-0.313904984063785,0.13599047038671497,-1.774090238503237,0.00597348,-0.24125936604253456,0.7566848172757716,1.0,0.0
-0.942362,-0.322404,-0.0891712,0.0068558,-0.0299116,0.132662,-3326.76,39.6818,-111.461,-16.9483,-0.2880989157277157,0.13599231617470156,-1.7925602206631608,0.0068558,-0.24377441629061736,0.7809038011350613,1.0,0.0
-0.945961,-0.317905,-0.0633699,0.00504699,-0.0248241,0.133704,-3905.82,40.1272,-116.794,-14.0064,-0.3382457727721947,0.13598895380438072,-1.754370625663885,0.00504699,-0.23857502596916855,0.730874425995617,1.0,0.0
-0.947892,-0.314617,-0.0493478,0.00406601,-0.0219734,0.134201,-4179.87,40.258,-119.563,-12.2172,-0.3619786263159371,0.13598800942936107,-1.7330912174836006,0.00406601,-0.23567962482510274,0.7030814319586368,1.0,0.0
-0.949889,-0.310558,-0.0343971,0.00302451,-0.0188742,0.134672,-4436.29,40.2874,-122.284,-10.1485,-0.3841847139119467,0.13598817231524216,-1.7100387933436347,0.00302451,-0.23254505009496299,0.673044889569474,1.0,0.0
-0.95191,-0.305698,-0.0184575,0.00191729,-0.0154925,0.135103,-4671.28,40.2342,-124.99,-7.85419,-0.40453495384715565,0.1359883751107057,-1.6849693946487785,0.00191729,-0.2291362500895568,0.6404453514085131,1.0,0.0
-0.953881,-0.300069,-0.0015195,0.000751515,-0.0118355,0.135472,-4880.99,40.1218,-127.68,-5.27181,-0.422695934385956,0.13598802095864915,-1.6579399812812945,0.000751515,-0.22545997692266306,0.6053600618212062,1.0,0.0
-0.955764,-0.29358,0.016344,-0.000468927,-0.00789959,0.135759,-5058.23,39.9464,-130.342,-2.39372,-0.43804499828704296,0.13598863777230838,-1.6289191206805658,-0.000468927,-0.22151449226261655,0.5677837448091966,1.0,0.0
-0.957493,-0.286244,0.0348974,-0.00172897,-0.00372318,0.135938,-5214.11,39.7379,-132.986,0.734256,-0.45154427655888596,0.13598897717577113,-1.59817829093661,-0.00172897,-0.21733463112899157,0.5280591002129185,1.0,0.0
-0.959029,-0.278074,0.0537376,-0.00299647,0.000593375,0.135988,-5335.21,39.564,-135.819,4.06918,-0.4620315911516508,0.1359892945708986,-1.5664329180075538,-0.00299647,-0.21301810751248146,0.4871216338280234,1.0,0.0
-0.960322,-0.269251,0.0723604,-0.0042388,0.00493397,0.135899,-5418.81,39.3005,-138.247,7.66779,-0.4692713888391417,0.13598853724105167,-1.5345061125148742,-0.0042388,-0.2086752416283504,0.44601820424742156,1.0,0.0
-0.961325,-0.260096,0.0903039,-0.00542451,0.00917643,0.135679,-5480.79,39.0504,-140.516,11.4458,-0.47463888478017857,0.13598896245116696,-1.5032657845649846,-0.00542451,-0.20442755433133172,0.4058905135737906,1.0,0.0
-0.96251,-0.241608,0.123093,-0.00756334,0.0170531,0.134915,-5584.3,38.7972,-145.025,19.0551,-0.48360289744324286,0.1359884754110068,-1.4450642471612944,-0.00756334,-0.19651208384241875,0.3312936841690819,1.0,0.0
-0.962036,-0.25086,0.107267,-0.00653726,0.0132393,0.135342,-5534.55,38.9007,-142.808,15.2686,-0.4792945250155794,0.1359879995752934,-1.473285487463895,-0.00653726,-0.20034914624352607,0.3674275136828191,1.0,0.0
-0.962781,-0.232496,0.137667,-0.00850099,0.0205926,0.13442,-5653.43,38.787,-147.386,22.6413,-0.48958958660755203,0.13598820380738913,-1.4187822277045685,-0.00850099,-0.19293764673939043,0.2976793989273322,1.0,0.0
-0.962921,-0.223541,0.150899,-0.00933991,0.0238022,0.13389,-5746.06,38.76,-149.58,26.0212,-0.49761138636583285,0.13598925260784397,-1.3948600800101298,-0.00933991,-0.189685979773095,0.267136305014121,1.0,0.0
-0.962951,-0.206327,0.173571,-0.0107442,0.0292732,0.132804,-5986.1,38.773,-153.848,32.4286,-0.5183989585776188,0.13599199481675384,-1.3538415522914744,-0.0107442,-0.18411161336192816,0.2148623092022749,1.0,0.0
-0.962966,-0.214838,0.162808,-0.0100818,0.0266773,0.133348,-5854.18,38.7745,-151.804,29.2552,-0.5069746271071188,0.1359903211235638,-1.3733452448229684,-0.0100818,-0.1867616608569948,0.2397000601024405,1.0,0.0
-0.962865,-0.188761,0.192981,-0.0119208,0.0339641,0.131684,-6339.7,38.8654,-158.676,38.8828,-0.5490208779830823,0.13599351434833207,-1.3183763898256267,-0.0119208,-0.1792906384862536,0.16974987792376794,1.0,0.0
-0.962911,-0.197745,0.183511,-0.0113499,0.0316746,0.132253,-6146.39,38.7931,-156.03,35.6013,-0.532280144837522,0.13599314796768255,-1.335724121737829,-0.0113499,-0.18164932813149542,0.1918092666749368,1.0,0.0
-0.962856,-0.167701,0.211579,-0.0130304,0.0385085,0.130426,-6927.38,38.6695,-163.924,46.2011,-0.5999142309135204,0.13599208082917916,-1.2837014311556998,-0.0130304,-0.1745732287862589,0.12571290182902461,1.0,0.0
-0.962835,-0.17894,0.202267,-0.0124755,0.0362178,0.131082,-6584.37,38.9024,-161.552,42.4241,-0.570209410282106,0.13599345484559175,-1.3012230283260227,-0.0124755,-0.17695781514669912,0.14795773291721803,1.0,0.0
-0.963525,-0.123701,0.237285,-0.0145092,0.0449556,0.128342,-8762.53,35.8045,-168.849,57.3685,-0.7588390482125493,0.1359877749481916,-1.2338723341618458,-0.0145092,-0.16779155329280093,0.06270254523074792,1.0,0.0
-0.963189,-0.139585,0.229704,-0.0141089,0.0431329,0.128966,-8036.96,37.1853,-168.736,53.5776,-0.6960043591202918,0.13598777966571113,-1.2480395659745516,-0.0141089,-0.16971812951183707,0.08055240069888547,1.0,0.0
-0.962968,-0.154517,0.220897,-0.0135888,0.0408657,0.129704,-7428.84,37.9774,-165.792,49.7439,-0.6433408929753524,0.1359894593433256,-1.265572799084699,-0.0135888,-0.17210456070714744,0.10272465377701578,1.0,0.0
